pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
[ \n\t\r\f]*(?:(Public|Private)[ \n\t\r\f]+(?:[_][ \n\t\r\f]*[\n\r]+)?)?(Function|Sub)[ \n\t\r\f]+(?:[_][ \n\t\r\f]*[\n\r]+)?([a-zA-Z][a-z0-9A-Z_]{0,254})(?:[ \n\t\r\f\n\r_]*\((?:[ \n\t\r\f\n\r_]*([a-zA-Z][a-z0-9A-Z_]{0,254})[,]?[ \n\t\r\f]*)*\))?;;;254;509;156;TIMEOUT while finding cycles.
pwd=(\!|\%21)CRYPT(\!|\%21)[A-Z0-9]{512};1;1;512;512;32;484583;text generated
^[a-zA-Z0-9_\-]{1,500}$;1;1;500;500;1;489106;text generated
^[a-zA-Z0-9.!#$%&'*+\/=?\^_`{|}~\-]+@[a-zA-Z0-9](?:[a-zA-Z0-9\-]{0,253}[a-zA-Z0-9])?(?:\.[a-zA-Z0-9](?:[a-zA-Z0-9\-]{0,253}[a-zA-Z0-9])?)*$;1;3;253;507;11;489137;text generated
^[a-z_+-]{1,256}(\/[a-z_+-]{1,256}(\/[a-z_+-]{1,256})?)?$;;;;;;Error while converting regex to DCA: Error: Creating loop in NCA.
^(\.|[a-zA-Z0-9_\-]{1,255})(/[a-zA-Z0-9_/\-]{0,255})(\?.*)?$;1;2;255;510;5;489203;text generated
<?https?://[^ \n\t\r\f]{0,255}(?:\@|%40)[^ \n\t\r\f]{0,255};1;2;255;510;68;489304;text generated
^[A-Za-z][A-Za-z0-9_]{3,500}$;1;1;500;500;2;489371;text generated
[a-z_+-]{1,256}(\/[a-z_+-]{1,256}(\/[a-z_+-]{1,256})?)?;;;;;;Error while converting regex to DCA: Error: Creating loop in NCA.
(^|[ \n\t\r\f(,;])((?:https?:\/\/|www[0-9]{0,3}[.][a-z0-9.\-]{2,249}|[a-z0-9.\-]{2,250}[.][a-z]{2,4}\/)[-a-z0-9A-Z_.!~*'();,/?:@&=+$#%]*);1;4;250;506;77;498754;text generated
^[a-z0-9\-\, \n\t\r\f]{1,500}$;1;1;500;500;1;510251;text generated
^(0x)?[0-9A-F]{512}$;1;1;512;512;3;510272;text generated
^(.{512});1;1;512;512;2;510282;text generated
<([0-9a-f]{2,4})>[ \n\t\r\f]+<([0-9a-f]{4,512})>;1;2;512;516;12;510324;text generated
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;1;2;256;511;5;510364;text generated
[-_.0-9A-Za-z]{1,64}@[-_0-9A-Za-z]{1,255}[-_.0-9A-Za-z]{1,255};2;3,25;255;574;12;510396;text generated
^(0x)?[0-9a-f]{512}$;1;1;512;512;3;510411;text generated
^(ssh-rsa|ssh-dss|ecdsa-sha2-nistp256|ssh-ed25519) [a-zA-Z0-9/+]+=?=? ?.{0,512}\n?$;1;1;512;512;42;510469;text generated
(\[[^\[\]]{0,250})\n([^\[\]]{0,250}\]);1;2;250;500;8;510503;text generated
^[a-zA-Z0-9_\-\:\.]{1,500}$;1;1;500;500;1;510557;text generated
(\([^\(\)]{0,250})\n([^\(\)]{0,250}\));1;2;250;500;8;510580;text generated
^[a-z0-9A-Z_\-\.~/_=#]{1,512}$;1;1;512;512;1;510621;text generated
^[A-Za-z0-9\-\.]{0,511}[A-Za-z0-9\.]$;1;1;511;511;3;510686;text generated
